x,y,label
0.60652,-1.4083,0
1.2725,-0.85554,0
1.2568,1.2886,0
1.0836,-0.65588,0
-0.85331,-0.93611,0
1.0361,0.7286,0
-0.32059,1.7712,0
-1.4673,-0.44516,0
1.479,-0.40454,0
1.4962,-0.33553,0
0.84092,1.2822,0
1.5072,-0.28171,0
1.4781,-0.4077,0
-1.7924,0.16516,0
0.4764,-1.4574,0
1.1308,1.4004,0
-1.1167,0.5979,0
1.0932,-0.63974,0
0.33199,-1.2224,0
1.2259,-0.31892,0
-0.85595,-1.2722,0
1.4949,0.34117,0
0.89447,-1.2454,0
1.6474,-0.7253,0
-0.66387,-1.3822,0
0.087504,-1.7979,0
-0.077646,-1.7983,0
-1.4028,1.1278,0
-0.70882,-1.0498,0
0.60193,1.1145,0
-0.49081,-1.7318,0
1.2414,0.25166,0
-0.25815,1.5114,0
1.4693,0.43861,0
1.4751,1.0316,0
0.68285,-1.3729,0
-0.52095,-1.4421,0
-0.7366,1.6424,0
1.7127,-0.55384,0
1.4976,0.32928,0
-1.4212,0.57569,0
-0.93181,0.85801,0
0.14926,-1.5261,0
0.35492,-1.2159,0
0.48934,1.1683,0
-1.7963,0.11568,0
-1.1934,0.42468,0
-0.92976,-1.2193,0
-0.4546,-1.7416,0
0.045146,-1.5327,0
-0.29303,1.776,0
-0.65545,-1.3862,0
-1.0108,-1.4894,0
0.93942,1.5354,0
1.1243,1.0426,0
-1.2666,0.01302,0
1.2264,-0.31698,0
-0.82474,1.2926,0
-1.0892,-0.64662,0
0.20748,1.2496,0
0.01433,-1.7999,0
-0.049079,1.5325,0
-1.7987,-0.067357,0
-0.48228,-1.4555,0
1.3934,-1.1395,0
1.4834,-0.38793,0
-1.7214,-0.5262,0
1.1593,1.377,0
0.90676,1.2365,0
-0.059734,1.2653,0
0.97133,-1.5154,0
-0.048424,1.7993,0
0.49783,-1.1647,0
0.073211,1.7985,0
1.3844,-0.65927,0
-1.0579,1.4563,0
0.59272,1.6996,0
-0.008626,1.2666,0
-1.3424,-1.1992,0
-1.7747,0.30068,0
-0.91416,1.231,0
0.87536,-1.5728,0
-1.3185,-0.78272,0
-1.2053,-0.38933,0
1.0991,-0.6297,0
-0.34237,1.4946,0
0.081405,-1.7982,0
0.042171,-1.7995,0
-1.3156,1.2285,0
-1.1534,-0.52358,0
1.3625,0.70344,0
1.1946,0.4212,0
-1.243,-0.24358,0
0.23084,-1.2455,0
1.6475,-0.72512,0
1.0503,1.1171,0
-1.1501,-0.53083,0
-1.5051,0.29308,0
1.2631,0.094637,0
-0.65927,1.0816,0
0.94356,1.5329,0
0.42116,-1.4744,0
-0.67538,1.6685,0
-1.7712,-0.32098,0
0.77514,1.323,0
-1.4429,-1.0761,0
-0.14654,1.794,0
-1.0203,-1.4829,0
-0.4721,-1.1754,0
-0.020905,-1.7999,0
-1.4599,0.46886,0
1.5561,0.90478,0
0.20195,1.52,0
1.3116,-0.79427,0
1.0361,1.4719,0
0.58084,-1.1256,0
-1.4891,-0.36584,0
1.7995,-0.043711,0
1.352,0.72324,0
-1.6845,0.63437,0
1.4107,1.1179,0
1.4896,-0.36359,0
1.2661,0.036877,0
0.23901,-1.5146,0
0.51982,-1.1551,0
1.0404,-1.1263,0
1.3226,0.77585,0
-1.4548,1.06,0
-0.11156,1.7965,0
0.55697,-1.7117,0
-1.6354,0.7519,0
1.298,-0.81633,0
0.74745,1.6375,0
-0.13281,1.5276,0
0.77296,1.0035,0
0.83126,0.95574,0
1.2263,-1.3176,0
-1.345,-0.73619,0
-1.7124,-0.55473,0
0.77663,1.0006,0
0.92473,-1.2231,0
-1.1041,-1.064,0
-0.75065,1.0203,0
-1.528,-0.1275,0
-1.2507,0.88712,0
1.1251,0.5819,0
0.097085,1.5303,0
0.90508,0.88616,0
0.51102,1.159,0
0.079912,1.2641,0
-1.0993,0.62919,0
1.2055,0.3888,0
1.0373,-0.72693,0
1.442,-0.52133,0
-1.2646,0.07267,0
-1.5298,0.10346,0
-0.94261,1.5335,0
1.2408,-0.90085,0
-1.0443,1.1227,0
1.174,0.98628,0
0.23932,-1.2439,0
-1.1798,0.97932,0
0.093927,1.7975,0
-1.4818,1.0219,0
1.0411,0.72152,0
0.85558,0.93404,0
1.4328,-0.54604,0
1.4755,-0.41728,0
-1.3653,-0.69791,0
1.1784,0.46466,0
0.17187,1.7918,0
-0.76472,1.0098,0
0.5479,-1.142,0
1.2607,0.1224,0
1.2207,0.33826,0
0.7472,1.339,0
-0.90815,-1.2355,0
-0.14515,-1.2583,0
-1.0785,-1.4411,0
-1.7151,0.54629,0
-1.7221,-0.52396,0
-0.36347,1.2134,0
-0.060012,-1.799,0
0.6736,1.6692,0
-0.69639,-1.6598,0
0.73029,1.6452,0
-1.2196,1.3238,0
-1.08,-1.0884,0
0.23913,-1.2439,0
1.3384,0.74817,0
1.144,-0.54374,0
0.20375,-1.2502,0
-1.7938,0.14921,0
-1.1652,0.49678,0
-1.1965,0.41568,0
-0.43916,1.1881,0
-1.5311,-0.081935,0
-1.5298,-0.1037,0
0.52218,-1.154,0
0.50035,-1.7291,0
-0.94497,-1.2075,0
-1.3013,1.2436,0
