x,y,label
9.8287,3.3445,0
8.9379,2.863,0
2.098,3.3888,0
10.432,2.5136,0
11.223,2.0195,0
9.7095,3.0646,0
2.4266,2.5588,0
5.7819,3.8925,0
9.0434,3.8129,0
9.2951,2.7854,0
4.2428,2.0497,0
4.6905,3.3429,0
8.7303,3.6743,0
6.7749,3.943,0
8.2372,2.1139,0
4.3644,2.9006,0
3.7712,3.1649,0
10.296,3.3733,0
9.6692,3.4389,0
11.345,3.3001,0
3.0789,3.4538,0
3.8223,2.7477,0
2.991,3.1632,0
6.8976,2.2322,0
3.9325,2.1153,0
10.959,3.9595,0
2.9909,2.5696,0
2.4417,3.1899,0
7.573,3.9243,0
9.725,2.3716,0
5.1194,2.3861,0
3.7898,2.6833,0
5.3896,3.8658,0
4.1015,2.7813,0
7.1015,2.5464,0
11.064,2.3039,0
8.2892,2.7942,0
3.0153,2.7494,0
5.9085,2.2622,0
2.5462,2.8701,0
7.0128,2.183,0
6.3172,3.2293,0
11.976,2.022,0
10.116,3.1465,0
6.8565,3.5795,0
10.944,2.4707,0
3.3755,2.896,0
5.9,3.1387,0
11.274,2.1228,0
11.175,2.9926,0
9.1357,3.2846,0
8.1834,2.4425,0
5.4329,3.6741,0
11.36,3.9422,0
3.2477,3.6927,0
9.3059,3.012,0
8.4648,2.5578,0
10.332,3.4932,0
5.9828,2.4739,0
9.4982,3.9147,0
10.352,3.2405,0
5.2246,3.2005,0
7.5226,2.3452,0
11.791,2.1807,0
7.4931,2.5105,0
5.3042,3.7171,0
8.1947,3.8221,0
5.6064,3.3993,0
9.5651,3.4504,0
6.139,2.4598,0
6.9235,3.1521,0
8.9474,3.6213,0
11.727,2.8077,0
5.2775,3.9769,0
10.378,2.18,0
9.3907,2.6419,0
11.542,3.0228,0
2.3192,2.1212,0
5.5687,3.4514,0
8.6265,3.1131,0
4.815,3.0587,0
4.3038,3.66,0
9.1113,3.7175,0
8.2457,3.5781,0
7.9061,2.6357,0
8.6044,2.9044,0
2.4755,3.5045,0
5.4878,2.2197,0
6.5134,2.2195,0
4.409,2.5398,0
9.1505,3.0493,0
10.562,3.9453,0
4.8151,3.4208,0
9.3105,2.6237,0
3.3776,2.5829,0
10.367,3.7007,0
3.386,3.8233,0
7.8821,3.2786,0
5.6616,2.5107,0
10.068,2.1773,0
7.0378,3.6765,0
6.8959,3.1694,0
10.77,3.8962,0
5.5314,2.1221,0
6.4944,3.1693,0
11.635,2.5702,0
2.423,3.6555,0
11.73,2.382,0
3.8921,2.8851,0
8.6712,2.7868,0
7.8644,3.6531,0
8.7511,3.3537,0
5.6102,2.4152,0
8.2028,2.6362,0
10.112,2.2676,0
2.1926,3.3429,0
2.8387,3.142,0
11.748,2.3395,0
8.5135,2.2953,0
4.3124,2.9522,0
6.0349,3.8162,0
3.2202,3.1044,0
4.6844,2.0659,0
4.5785,2.1077,0
5.3167,3.6101,0
-3.5223,-2.9027,1
-5.4801,-2.7653,1
-3.2166,-3.5793,1
-10.842,-2.7286,1
-2.9428,-3.0647,1
-11.3,-3.4233,1
-5.9902,-3.743,1
-2.474,-2.6574,1
-5.4237,-3.3002,1
-9.3597,-3.9497,1
-9.9468,-2.1519,1
-7.4491,-3.174,1
-8.8622,-2.8278,1
-10.936,-2.6183,1
-2.5479,-2.5277,1
-5.0366,-3.5175,1
-2.4619,-3.9904,1
-3.9548,-2.3731,1
-9.2017,-3.5623,1
-9.2175,-2.3916,1
-10.778,-3.9847,1
-7.8243,-3.6045,1
-2.7068,-2.8485,1
-11.227,-3.4577,1
-10.004,-2.9967,1
-4.8595,-3.618,1
-7.4366,-2.713,1
-11.848,-2.1465,1
-9.1568,-3.182,1
-10.39,-3.8204,1
-6.3326,-2.3875,1
-6.7062,-2.8647,1
-7.6071,-3.4983,1
-4.6909,-2.0784,1
-9.4902,-3.8926,1
-7.0389,-3.5273,1
-8.4681,-3.1176,1
-5.0775,-2.3677,1
-3.3872,-2.9959,1
-6.7557,-3.0357,1
-5.6246,-3.9885,1
-9.8811,-3.7097,1
-9.803,-3.9248,1
-8.6851,-3.3579,1
-3.335,-2.807,1
-2.2156,-3.87,1
-7.5984,-2.959,1
-5.0082,-2.4636,1
-11.394,-2.7926,1
-11.809,-3.4102,1
-4.8662,-3.1171,1
-10.008,-3.5133,1
-10.961,-3.991,1
-7.9753,-3.9249,1
-10.84,-3.0701,1
-11.437,-3.9277,1
-7.4916,-2.2313,1
-9.2839,-2.1029,1
-7.7676,-2.6087,1
-2.2586,-3.1604,1
-6.4653,-3.0619,1
-8.463,-3.8024,1
-7.212,-3.0811,1
-5.7231,-2.864,1
-11.371,-3.0853,1
-10.295,-3.4248,1
-10.491,-2.0333,1
-5.7253,-3.6018,1
-7.9318,-2.285,1
-10.726,-2.9569,1
-11.335,-2.5137,1
-8.6846,-2.7382,1
-4.0678,-3.3235,1
-8.5385,-2.3392,1
-2.7205,-2.5576,1
-6.0673,-2.3964,1
-8.6693,-2.3901,1
-11.337,-2.6537,1
-10.11,-3.7607,1
-6.8455,-2.9422,1
-9.5675,-2.8079,1
-6.1705,-2.3585,1
-11.718,-3.9378,1
-11.88,-2.8149,1
-10.641,-3.689,1
-5.8888,-3.2307,1
-6.5474,-2.7532,1
-4.4669,-3.7544,1
-9.8442,-3.5697,1
-10.828,-2.9299,1
-11.137,-3.628,1
-7.5828,-3.7969,1
-7.9887,-2.8585,1
-3.4888,-2.6687,1
-10.997,-3.1933,1
-6.5039,-3.804,1
-4.0567,-3.4041,1
