x,y,label
-0.85375,0.27271,1
-6.9635,8.372,1
-3.1105,7.3781,1
-5.2731,-7.9282,1
-2.5418,2.0444,1
-14.536,10.255,1
-2.3547,4.3273,1
0.36523,0.058236,1
-10.177,-11.953,1
-2.8152,5.5756,1
-11.267,-11.97,1
-2.1569,-1.735,1
-14.891,12.952,1
-7.0689,9.4436,1
-1.4489,-4.2552,1
0.0642,2.3471,1
-9.3264,10.17,1
-6.1827,6.8307,1
-6.1374,-9.8747,1
-1.2554,-4.1884,1
-9.5226,11.302,1
-5.8475,-7.7492,1
-1.2828,4.8986,1
-1.0183,-0.0059478,1
-3.7004,-5.3743,1
-2.8096,4.9998,1
-20.842,11.348,1
-16.062,12.137,1
-2.4194,-4.1715,1
-1.6069,0.38282,1
-15.946,-11.596,1
-15.967,12.772,1
-0.67539,5.6333,1
0.3569,0.06247,1
-14.43,10.603,1
-15.838,-11.905,1
-2.101,-6.2772,1
-14.292,-12.139,1
-2.848,-4.5702,1
-17.628,12.189,1
-2.8413,5.1833,1
-15.023,9.7348,1
-0.033831,-5.153,1
-16.397,13.108,1
-4.6822,-7.4976,1
-1.6251,0.85296,1
-1.6236,5.3885,1
1.439,0.84305,1
-3.6223,-6.1995,1
-10.839,-9.7434,1
-3.9659,6.1211,1
-3.5574,6.6649,1
-3.9293,7.1635,1
-2.3842,-4.368,1
-12.242,-10.882,1
-6.5888,-8.6765,1
-12.084,-9.4598,1
-13.829,-10.717,1
-11.439,11.378,1
-11.729,-10.05,1
-17.381,-12.025,1
-6.536,-10.127,1
-13.381,-10.676,1
-14.145,10.469,1
-0.78634,-6.5498,1
-3.1987,7.747,1
0.0155,-6.6186,1
-12.31,-10.572,1
-2.6176,4.3889,1
-5.3783,-8.4691,1
-10.118,11.315,1
-1.0385,-1.53,1
0.23975,-6.5057,1
-5.7782,-6.1289,1
-3.5365,6.3342,1
-3.3753,8.758,1
-14.19,-10.002,1
-0.8332,-5.1465,1
-14.35,13.481,1
-1.2768,-3.3486,1
-7.0079,11.047,1
-7.6003,-8.5463,1
-12.826,-10.754,1
-2.9776,5.5386,1
-12.652,12.219,1
-6.7832,-8.5061,1
-2.6502,7.6006,1
-5.614,10.372,1
-8.6987,10.86,1
-14.204,13.131,1
-1.064,-2.0059,1
-1.3061,5.0663,1
-5.7921,-9.153,1
-1.7689,-0.69569,1
-2.3704,4.2267,1
-17.692,9.9022,1
-9.1643,10.706,1
1.3714,-2.5917,1
-2.6493,4.0345,1
-12.521,-10.248,1
-16.453,12.54,1
-1.8593,2.7215,1
-0.17917,-2.4728,1
-11.426,10.861,1
-1.8044,0.20626,1
-9.4222,-11.851,1
-7.7332,8.5884,1
-10.763,9.6843,1
-14.712,12.881,1
-3.4552,-6.4908,1
-17.536,12.392,1
-4.8386,6.058,1
-16.592,-13.61,1
-7.5466,-9.6308,1
-4.3128,7.5755,1
-3.1418,-4.8604,1
-11.348,12.64,1
0.33465,-6.6317,1
-10.231,-10.435,1
-14.552,-13.235,1
-3.9952,5.2022,1
-1.8422,0.60226,1
-1.8454,-5.0532,1
-4.3249,-6.6784,1
-0.61417,0.49175,1
-1.6983,6.5819,1
-3.0105,8.7106,1
-15.634,11.908,1
0.11568,3.6657,1
-11.673,9.8827,1
-1.6594,3.104,1
-16.482,-11.153,1
-1.0332,-2.0796,1
-15.155,-12.064,1
-15.222,10.252,1
-20.7,-10.755,1
-13.498,12.347,1
-2.1492,7.3452,1
-8.6795,-7.7181,1
0.55901,-2.5103,1
0.86824,1.4777,1
-3.7434,5.1725,1
-9.9946,9.3438,1
-3.7464,7.2638,1
-11.131,12.203,1
-1.7806,7.8941,1
