x,y,label
-25.75,-8.7828,0
-26.098,-7.8641,0
-12.018,0.33685,0
-26.719,-3.9882,0
-23.276,5.7558,0
-27.98,-19.643,0
-29.549,-15.16,0
-25.995,14.739,0
-13.227,9.934,0
-25.277,4.2086,0
-18.235,14.598,0
-17.38,-14.047,0
-21.566,3.8062,0
-26.198,7.2339,0
-22.034,13.964,0
-27.208,-8.0212,0
-28.843,-6.7291,0
-17.93,-0.66303,0
-29.268,12.665,0
-24.198,1.5032,0
-23.811,15.336,0
-27.771,-14.622,0
-15.096,13.125,0
-26.975,-8.7149,0
-23.801,-18.143,0
-19.427,-12.421,0
-25.127,-16.542,0
-29.356,12.287,0
-28.242,-13.668,0
-28.473,6.3382,0
-15.321,11.75,0
-16.666,0.498,0
-28.491,-16.279,0
-13.322,-3.6243,0
-21.894,6.9683,0
-23.921,14.16,0
-24.297,10.756,0
-16.662,11.847,0
-24.693,1.1183,0
-11.129,6.4012,0
-12.865,4.0997,0
-28.393,-0.60384,0
-11.406,3.1366,0
-29.298,18.578,0
-28.205,16.608,0
-12.129,5.8832,0
-29.12,-13.619,0
-17.919,-1.6331,0
-28.434,-5.5458,0
-12.999,10.48,0
-15.243,11.409,0
-29.938,-0.15567,0
-19.453,-12.679,0
-14.697,5.2709,0
-25.363,-11.967,0
-16.571,3.1943,0
-17.607,1.3139,0
-16.925,3.142,0
-26.761,0.45885,0
-19.339,-7.5139,0
-28.076,6.2145,0
-26.915,-2.7799,0
-24.076,13.688,0
-14.364,0.17052,0
-17.481,11.782,0
-20.28,-2.8792,0
-18.824,12.869,0
-27.626,-16.723,0
-27.208,13.918,0
-19.712,15.851,0
-13.671,-6.718,0
-18.845,8.574,0
-22.709,15.857,0
-20.864,13.541,0
-27.313,-19.596,0
-24.507,4.081,0
-17.355,13.705,0
-16.797,-7.2672,0
-29.906,6.9319,0
-25.21,19.11,0
-14.853,10.323,0
-26.77,3.8069,0
-21.377,-6.0721,0
-19.65,-7.5315,0
-22.892,-14.149,0
-11.155,-3.5372,0
-17.427,-2.8242,0
-13.209,-1.6362,0
-21.547,-17.802,0
-16.989,2.2141,0
-15.116,5.7109,0
-11.856,-5.6043,0
-14.722,10.734,0
-27.64,7.1776,0
-21.758,3.5073,0
-19.872,12.075,0
-14.145,-7.6579,0
-23.586,-7.5889,0
-18.136,2.6506,0
-19.154,-4.3362,0
-19.614,8.6427,0
-21.753,0.56962,0
-15.574,9.4932,0
-26.765,-5.3599,0
-16.373,-13.054,0
-27.49,5.1515,0
-26.237,17.276,0
-11.669,-1.857,0
-20.325,-9.314,0
-22.322,-13.534,0
-20.841,-7.6092,0
-23.975,-16.351,0
-22.482,13.389,0
-20.757,12.618,0
-23.345,-17.117,0
-16.576,1.6119,0
-19.582,15.639,0
-19.312,-9.1214,0
-24.354,-14.74,0
-21.11,-12.076,0
-21.954,-14.964,0
-15.317,-1.7634,0
-19.161,14.011,0
-16.699,-1.2761,0
-20.973,-16.831,0
-26.315,4.589,0
-14.468,-12.583,0
-22.866,-15.496,0
-15.116,1.3474,0
-22.5,0.93545,0
-26.713,-18.007,0
-14.334,-6.6829,0
-22.616,-10.604,0
-20.043,3.1821,0
-20.501,5.9703,0
-15.839,5.6685,0
-17.171,-10.543,0
-19.404,15.273,0
-20.821,0.28885,0
-24.727,13.225,0
-24.451,11.8,0
-28.383,-9.6574,0
-14.045,-6.9605,0
-12.532,3.4088,0
-20.13,-7.5454,0
-18.77,-1.049,0
-17.69,-6.3908,0
-23.226,-8.0941,0
-22.589,-2.8808,0
-17.424,-0.08247,0
-19.326,0.49087,0
-26.656,9.2755,0
-25.845,-15.484,0
-10.872,4.1106,0
-21.593,1.9627,0
-28.248,18.993,0
-14.925,-0.49396,0
-28.999,-8.741,0
-17.226,10.886,0
-18.351,-11.177,0
-25.866,10.755,0
-20.425,-10.814,0
